code,code desc.,service,make,car name,car code,model name,year start,year end,group,short name,qs code,part code,price,duracao,description
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RAU97,RAUM,1997,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RUN02,RUNX,2002,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RUN024W,RUNX 4WD,2002,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RUS08,RUSH,2008,2017,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,SIE03,SIENTA,2003,2015,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,SIEN03,SIEENA ,2003,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,SPA97,SPACIO,1997,2001,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,SPR91,SPRINTER ,1991,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,STA95,STARLET ,1995,1999,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,VIS94,VISTA,1994,2024,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,VIT05,VITZ,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,VIT99,VITZ,1999,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,YAR05,YARIS ,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,YAR12,YARIS ,2012,2024,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,GOL04,GOLF ,2004,2009,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,GOL83,CITY GOLF,1983,1992,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,JET06,JETTA,2006,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,JET85,JETTA,1985,1992,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,JET92,JETTA,1992,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,KOM94,KOMBI ,1994,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,PAS08,PASSAT ,2008,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,POL96,POLO,1996,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,VW,VW,TOU04,TOURAN,2004,2015,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,DAI,DAIHATSU,SIR04,SIRION,2004,2013,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,DAI,DAIHATSU,SIR99,SIRION,1999,2004,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,DAI,DAIHATSU,TER06,TERIOS,2006,2013,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,DAI,DAIHATSU,TER96,TERIOS,1996,,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FIA,FIAT,DOB,DOBLO,1998,2009,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FIA,FIAT,PAL96,PALIO,1996,2000,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FIA,FIAT,PAN10,PANDA,2010,2012,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FIA,FIAT,PUN04,PUNTO,2004,2018,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,BAN03,BANTAM ,2003,2011,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,BAN86,BANTAM ,1986,1990,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,BAN94,BANTAM ,1994,1990,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,FIE96,FIESTA,1996,2002,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,FIE99,FIESTA,1999,2002,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,FOC03,FOCUS ,2003,2005,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,IKO07,IKON ,2007,2012,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,MON01,MONDEO,2001,2007,PNEU,TY,2,QSLE-TY002,800,,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento com camber,FOR,FORD,SIE89,SIERRA,1989,1993,PNEU,TY,2,QSLE-TY002,800,,
